Child ID,Block,Sampling Trial 1,Sampling Trial 2,Classification Guess,Category Boundary,Condition,Card Set,Date,Assessor ID,School ID
bally,1,7,10,5,5,passive,cats,04/27/2018 12:20:54,sally,fally
bally,2,1,2,5,5,passive,cats,04/27/2018 12:21:05,sally,fally
bally,3,5,2,5,5,passive,cats,04/27/2018 12:21:14,sally,fally
bally,4,2,4,5,5,passive,cats,04/27/2018 12:21:21,sally,fally
bally,1,6,5,5,5,active,dogs,04/27/2018 12:21:26,sally,fally
bally,2,5,6,5,5,active,dogs,04/27/2018 12:21:30,sally,fally
bally,3,5,6,5,5,active,dogs,04/27/2018 12:21:34,sally,fally
bally,4,10,5,5,5,active,dogs,04/27/2018 12:21:37,sally,fally
sam,1,6,5,4,3,active,cats,04/27/2018 12:22:03,bob,rich
sam,2,10,3,3,3,active,cats,04/27/2018 12:22:07,bob,rich
sam,3,3,4,3,3,active,cats,04/27/2018 12:22:11,bob,rich
sam,4,3,4,3,3,active,cats,04/27/2018 12:22:17,bob,rich
sam,1,7,8,6,6,passive,dogs,04/27/2018 12:22:28,bob,rich
sam,2,8,10,5,6,passive,dogs,04/27/2018 12:22:38,bob,rich
sam,3,10,7,5,6,passive,dogs,04/27/2018 12:22:47,bob,rich
sam,4,8,4,5,6,passive,dogs,04/27/2018 12:22:54,bob,rich
bill,1,9,2,5,5,passive,dogs,04/27/2018 12:23:36,pill,jill
bill,2,1,6,5,5,passive,dogs,04/27/2018 12:23:46,pill,jill
bill,3,5,10,5,5,passive,dogs,04/27/2018 12:23:54,pill,jill
bill,4,10,3,5,5,passive,dogs,04/27/2018 12:24:01,pill,jill
bill,1,6,5,5,5,active,cats,04/27/2018 12:24:06,pill,jill
bill,2,5,6,5,5,active,cats,04/27/2018 12:24:09,pill,jill
bill,3,5,6,5,5,active,cats,04/27/2018 12:24:12,pill,jill
bill,4,5,6,5,5,active,cats,04/27/2018 12:24:16,pill,jill


